fid2,ID_LINE,ID_POINT,DISTANCE,OVERLAND,X,Y,Z
4882,21,4882,95.330525474,95.672376421,143278.40156,2660348.9661,-44.88999939
4883,21,4883,95.869116013,96.218434839,143278.60176,2660348.4661,-44.799999237
4884,21,4884,96.407706553,96.7615552,143278.80196,2660347.9661,-44.729999542
4885,21,4885,96.946297092,97.300516968,143279.00216,2660347.4661,-44.709999084
4886,21,4886,97.484887631,97.839478736,143279.20236,2660346.9661,-44.689998627
4887,21,4887,98.023478171,98.379552659,143279.40256,2660346.4661,-44.649997711
4888,21,4888,98.56206871,98.92267302,143279.60276,2660345.9661,-44.719997406
4889,21,4889,99.10065925,99.462098359,143279.80296,2660345.4661,-44.689998627
4890,21,4890,99.639249789,100.00106013,143280.00316,2660344.9661,-44.709999084
4891,21,4891,100.17784033,100.54002189,143280.20336,2660344.4661,-44.689998627
4892,21,4892,100.71643087,101.08608031,143280.40356,2660343.9661,-44.779998779
4893,21,4893,101.25502141,101.63213873,143280.60376,2660343.4661,-44.689998627
4894,21,4894,101.79361195,102.17993383,143280.80396,2660342.9661,-44.789997101
4895,21,4895,102.33220249,102.71852436,143281.00416,2660342.4661,-44.789997101
4896,21,4896,102.87079303,103.25720777,143281.20436,2660341.9661,-44.799999237
4897,21,4897,103.40938356,103.79589111,143281.40455,2660341.4661,-44.809997559
4898,21,4898,103.9479741,104.33485287,143281.60475,2660340.9661,-44.789997101
4899,21,4899,104.48656464,104.87353621,143281.80495,2660340.4661,-44.779998779
4900,21,4900,105.02515518,105.41221954,143282.00515,2660339.9661,-44.770000458
4901,21,4901,105.56374572,105.964017,143282.20535,2660339.4661,-44.649997711
4902,21,4902,106.10233626,106.50492336,143282.40555,2660338.9661,-44.599998474
4903,21,4903,106.6409268,107.04388513,143282.60575,2660338.4661,-44.579998016
4904,21,4904,107.17951734,107.60297285,143282.80595,2660337.9661,-44.430000305
4905,21,4905,107.71810788,108.14387921,143283.00615,2660337.4661,-44.479999542
4906,21,4906,108.25669842,108.68993763,143283.20635,2660336.9661,-44.38999939
4907,21,4907,108.79528896,109.23001155,143283.40655,2660336.4661,-44.349998474
4908,21,4908,109.3338795,109.77008548,143283.60675,2660335.9661,-44.309997559
4909,21,4909,109.87247004,110.3090471,143283.80695,2660335.4661,-44.290000916
4910,21,4910,110.41106058,110.84773044,143284.00715,2660334.9661,-44.299999237
4911,21,4911,110.94965112,111.3886368,143284.20735,2660334.4661,-44.25
4912,21,4912,111.48824166,111.92871072,143284.40754,2660333.9661,-44.209999084
4913,21,4913,112.0268322,112.46961709,143284.60774,2660333.4661,-44.159999847
4914,21,4914,112.56542273,113.00820763,143284.80794,2660332.9661,-44.159999847
4915,21,4915,113.10401327,113.54763318,143285.00814,2660332.4661,-44.129997253
4916,21,4916,113.64260381,114.08622372,143285.20834,2660331.9661,-44.129997253
4917,21,4917,114.18119435,114.62713008,143285.40854,2660331.4661,-44.079998016
4918,21,4918,114.71978489,115.16581348,143285.60874,2660330.9661,-44.090000153
4919,21,4919,115.25837543,115.70440402,143285.80894,2660330.4661,-44.090000153
4920,21,4920,115.79696597,116.24308743,143286.00914,2660329.9661,-44.079998016
